City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,acarau,-2.8856,-40.12,25.39,86,98,3.6,BR,1667702655
277,san ramon de la nueva oran,-23.1322,-64.326,20.79,40,1,0.94,AR,1667702434
278,kroya,-7.6331,109.2461,26.97,81,99,2.46,ID,1667702662
279,laguna,38.421,-121.4238,16.16,81,100,3.6,US,1667702669
280,oriximina,-1.7656,-55.8661,23.98,86,94,1.41,BR,1667702670
281,aksu,41.1231,80.2644,10.03,32,71,0.73,CN,1667702670
282,chokurdakh,70.6333,147.9167,-13.69,97,100,1.88,RU,1667702449
283,pundaguitan,6.3711,126.1689,28.23,76,100,1.46,PH,1667702671
284,san quintin,30.4833,-115.95,17.12,67,8,4.29,MX,1667702672
285,yumen,40.2833,97.2,6.58,25,71,5.81,CN,1667702672
286,bathsheba,13.2167,-59.5167,25.34,88,75,9.77,BB,1667702673
287,guerrero negro,27.9769,-114.0611,18.63,63,0,4.74,MX,1667702451
288,fortuna,40.5982,-124.1573,11.48,100,100,1.21,US,1667702578
289,chara,56.9064,118.2631,-6.65,70,20,2.13,RU,1667702673
290,staunton,38.1496,-79.0717,21.05,65,100,6.69,US,1667702453
291,kandrian,-6.2167,149.55,29.59,67,80,3.84,PG,1667702675
292,barra patuca,15.8,-84.2833,26.25,77,99,3.57,HN,1667702675
293,mahebourg,-20.4081,57.7,24.03,88,40,1.54,MU,1667702677
294,sorong,-0.8833,131.25,28.39,78,23,2.53,ID,1667702678
295,takoradi,4.8845,-1.7554,25.35,86,63,2.22,GH,1667702678
296,half moon bay,37.4636,-122.4286,16.68,90,100,2.06,US,1667702679
297,kangaba,11.9333,-8.4167,22.47,37,40,0.44,ML,1667702679
298,coos bay,43.3665,-124.2179,9.99,99,100,0.73,US,1667702383
299,jiuquan,39.7432,98.5174,7.09,26,55,1.32,CN,1667702680
300,bhola,22.6833,90.65,25.07,63,0,1.22,BD,1667702681
301,dubrovnik,42.6481,18.0922,15.8,55,0,9.77,HR,1667702681
302,maceio,-9.6658,-35.7353,23.69,94,75,3.09,BR,1667702682
303,bandarbeyla,9.4942,50.8122,25.24,77,18,3.14,SO,1667702683
304,rovaniemi,66.5,25.7167,-0.33,93,100,5.66,FI,1667702684
305,poya,-21.35,165.15,28.62,68,50,3.7,NC,1667702684
306,vestmannaeyjar,63.4427,-20.2734,6.44,72,96,7.6,IS,1667702685
